Compound ID,Smiles
1,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC2=CC=CC=C2C[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C21)C(C)(C)C
2,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)C2=O
3,O=C1CCC(N2C(=O)C3=CC=CC=C3C2=O)C(=O)N1
4,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O
5,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@@H](F)[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
6,NC1=CC=CC2=C1C(=O)N(C1CCC(=O)NC1=O)N=N2
7,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
8,NS(=O)(=O)C1=CC=C(S(=O)(=O)NC2=CC=CC3=C2[NH]C=C3Cl)C=C1
9,COC1=CC=C(C2=NC(C3=CC=C(Cl)C=C3)C(C3=CC=C(Cl)C=C3)N2C(=O)N2CCNC(=O)C2)C(OC(C)C)=C1
10,COC1=CC(C(=O)O)=CC=C1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(C2=CC=C(Cl)C=C2F)[C@H]1C1=CC=CC(Cl)=C1F
11,CCOC1=CC(C(C)(C)C)=CC=C1C1=N[C@@](C)(C2=CC=C(Cl)C=C2)[C@@](C)(C2=CC=C(Cl)C=C2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1
12,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
13,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(C#N)CC3)C(C)(C)C)C=C2)SC=N1
14,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)C3(F)CC3)C(C)(C)C)C=C2)SC=N1
15,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
16,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@H](F)[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C
17,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(Cl)C=C1)C(C)(C)C
18,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C#N)C=C1)C(C)(C)C
19,C#CC1=CC=C([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(C)=O)C(C)(C)C)C=C1
20,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2CC2)C=C1)C(C)(C)C
21,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C(C)C)C=C1)C(C)(C)C
22,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C(C)(C)C)C=C1)C(C)(C)C
23,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)(C)C)C1=CC=C(C2=C(C)N=CS2)C=C1
24,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](C1=CC(C)=NO1)C(C)C)C1=CC=C(C2=C(C)N=CS2)C=C1
25,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)C1=CC=C(C2=C(C)N=CS2)C=C1
26,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(C#N)CC1)C(C)(C)C)C1=CC=C(C2=C(C)N=CS2)C=C1
27,CNC(=O)C[C@@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)C1=CC=C(C2=C(C)N=CS2)C=C1
28,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)C1(F)CC1)C(C)(C)C)C1=CC=C(C2=C(C)N=CS2)C=C1
29,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@H](C(C)C)N3CC4=CC=CC=C4C3=O)C=C2)SC=N1
30,C#CC1=CC=C([C@H](CC(=O)NC)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](C2=CC(C)=NO2)C(C)C)C=C1
31,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](C1=CC(C)=NO1)C(C)C)C1=CC=C(C#N)C=C1
32,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](C1=CC(C)=NO1)C(C)C)C1=CC=C(Br)C=C1
33,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](C1=CC(C)=NO1)C(C)C)C1=CC=C(Cl)C=C1
34,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](C1=CC(C)=NO1)C(C)C)C1=CC=C(F)C=C1
35,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](C1=CC(C)=NO1)C(C)C)C1=CC=CC=C1
36,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)C)C1=CC=CC=C1
37,COC1=CC=C(C2=N[C@H](C3=CC=C(Cl)C=C3)[C@H](C3=CC=C(Cl)C=C3)N2C(=O)N2CCNC(=O)C2)C(OC(C)C)=C1
38,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(=O)O
39,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)NC1=C(F)C=CC=C1F)C(C)(C)C
40,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C21)C1CCCCC1
41,COC1=CC=C2C(=C1)CCCN2C(=O)CCl
42,O=C1C=C(C2=CC=CC=C2)OC2=CC=C3C=CC=CC3=C12
43,O=C1C=C(C2=CC=CC=C2)OC2=C1C=CC1=CC=CC=C12
44,COC(=O)C1=CSC(C(=O)C2=C[NH]C3=CC=CC=C23)=N1
45,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=C(F)C=C2)=CS1)C1CCN(C)CC1
46,COC1=CC=C(C2=N[C@@H](C3=CC=C(Cl)C=C3)[C@@H](C3=CC=C(Cl)C=C3)N2C(=O)N2CCNC(=O)C2)C(OC(C)C)=C1
47,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(C1=CC=CC=C1)C1=CC=CC=C1)C1CCCCC1
47,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(C1=CC=CC=C1)C1=CC=CC=C1)C1CCCCC1
48,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OC)=C2)=CS1)C1CCCCC1
48,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OC)=C2)=CS1)C1CCCCC1
48,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C(=O)C2=CC=CC(OC)=C2)=CS1)C1CCCCC1
49,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](OC2=CC=CC=C2)C[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C21)C1CCCCC1
50,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](OC2=CC=CC=C2)C[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C21)C1CCCCC1
51,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCC1=CC=CC=C1)C2)C1CCCCC1
51,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCC1=CC=CC=C1)C2)C1CCCCC1
52,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C1=NC(C2=CC=C(F)C3=CC=CC=C23)=CS1)C1CCCCC1
