E3 Ligase,InChI Key,Smiles,source,id
CIAP1,UUPZYAHONNHULX-CJBSCAABSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,Literature,lit_47
XIAP,UUPZYAHONNHULX-CJBSCAABSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)OC)C(c1ccccc1)c1ccccc1)C1CCCCC1,Literature,lit_47
CIAP1,LCQFGFLQFLFDST-RTFZILSDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,Literature,lit_48
XIAP,LCQFGFLQFLFDST-RTFZILSDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,Literature,lit_48
CIAP2,LCQFGFLQFLFDST-RTFZILSDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(C(=O)c2cccc(OC)c2)cs1)C1CCCCC1,Literature,lit_48
CIAP1,GBQXNBCXOOCMBG-CFYMNZCRSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCc1ccccc1)C2)C1CCCCC1,Literature,lit_51
XIAP,GBQXNBCXOOCMBG-CFYMNZCRSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1C[C@H]2CC[C@@H]1N(CCc1ccccc1)C2)C1CCCCC1,Literature,lit_51
CIAP1,WZRFLSDVFPIXOV-LRQRDZAKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,Literature,lit_56
CIAP2,WZRFLSDVFPIXOV-LRQRDZAKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,Literature,lit_56
XIAP,WZRFLSDVFPIXOV-LRQRDZAKSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1snnc1-c1ccccc1)C1CCCCC1,Literature,lit_56
CIAP1,XLPLPVLYDHZSGR-PIXQIBFHSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,Literature,lit_72
XIAP,XLPLPVLYDHZSGR-PIXQIBFHSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3c2cc(Cc2ccc(F)cc2)c(=O)n3C)[C@@H](CN2[C@H](C)COC[C@H]2C)CN1,Literature,lit_72
XIAP,XIQKDUKFFKQZAO-DNRQZRRGSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,Literature,lit_73
CIAP1,XIQKDUKFFKQZAO-DNRQZRRGSA-N,C[C@@H]1CN(CC(=O)N2CC(C)(C)c3ncc(Cc4ccc(F)cc4)cc32)[C@@H](CN2CCOC[C@H]2C)CN1,Literature,lit_73
