"ID";"Salt Stripped Molecule";"Salt Stripped Molecule (InChI Code)";"Salt Stripped Molecule (InChI Key)";"Class";"duplicate-type-classifier"
"JR_0001";"C#CCN(CC(N)=O)C1CCc2ccccc21";"InChI=1S/C14H16N2O/c1-2-9-16(10-14(15)17)13-8-7-11-5-3-4-6-12(11)13/h1,3-6,13H,7-10H2,(H2,15,17)/t13-/m0/s1";"XZDYJDZRGLBSLM-ZDUSSCGKSA-N";"E3Nonbinder";"unique"
"JR_0002";"C#CCNC(=O)CN1C(=O)NC(C)(c2ccccc2)C1=O";"InChI=1S/C15H15N3O3/c1-3-9-16-12(19)10-18-13(20)15(2,17-14(18)21)11-7-5-4-6-8-11/h1,4-8H,9-10H2,2H3,(H,16,19)(H,17,21)/t15-/m1/s1";"GTABQRGUUXCMMB-OAHLLOKOSA-N";"E3Nonbinder";"unique"
"JR_0005";"C=C(C)CN(CC)C(=O)c1ccc2c(c1)NC(=O)C(C)S2";"InChI=1S/C16H20N2O2S/c1-5-18(9-10(2)3)16(20)12-6-7-14-13(8-12)17-15(19)11(4)21-14/h6-8,11H,2,5,9H2,1,3-4H3,(H,17,19)/t11-/m0/s1";"PINXIWWQKAKMAI-NSHDSACASA-N";"E3Nonbinder";"unique"
"JR_0006";"C=C(C)C[NH+](CC)CC1=C(C(=O)OCC)C(c2ccccc2)NC(=O)N1";"InChI=1S/C20H27N3O3/c1-5-23(12-14(3)4)13-16-17(19(24)26-6-2)18(22-20(25)21-16)15-10-8-7-9-11-15/h7-11,18H,3,5-6,12-13H2,1-2,4H3,(H2,21,22,25)/p+1/t18-/m0/s1";"HBOQKPLUUHKYAP-SFHVURJKSA-O";"E3Nonbinder";"unique"
"JR_0007";"C=CCN(CC=C)C(=O)CN1C(=O)NC(C)(c2ccc(OC(F)F)cc2)C1=O";"InChI=1S/C19H21F2N3O4/c1-4-10-23(11-5-2)15(25)12-24-16(26)19(3,22-18(24)27)13-6-8-14(9-7-13)28-17(20)21/h4-9,17H,1-2,10-12H2,3H3,(H,22,27)/t19-/m1/s1";"BQYLSJWXIOSTAQ-LJQANCHMSA-N";"E3Nonbinder";"unique"
"JR_0008";"C=CCN(CC=C)C(=O)CN1C(=O)NC(C)(c2ccc3c(c2)OCCO3)C1=O";"InChI=1S/C20H23N3O5/c1-4-8-22(9-5-2)17(24)13-23-18(25)20(3,21-19(23)26)14-6-7-15-16(12-14)28-11-10-27-15/h4-7,12H,1-2,8-11,13H2,3H3,(H,21,26)/t20-/m1/s1";"HLOQBELPJPLKHM-HXUWFJFHSA-N";"E3Nonbinder";"unique"
"JR_0009";"C=CCN(CC=C)C(=O)CN1C(=O)NC(C)(c2cccc(C#N)c2)C1=O";"InChI=1S/C19H20N4O3/c1-4-9-22(10-5-2)16(24)13-23-17(25)19(3,21-18(23)26)15-8-6-7-14(11-15)12-20/h4-8,11H,1-2,9-10,13H2,3H3,(H,21,26)/t19-/m1/s1";"QEPAAUQYARSKHC-LJQANCHMSA-N";"E3Nonbinder";"unique"
"JR_0010";"C=CCNC(=O)CN1C(=O)NC(C)(c2ccc(OC)cc2)C1=O";"InChI=1S/C16H19N3O4/c1-4-9-17-13(20)10-19-14(21)16(2,18-15(19)22)11-5-7-12(23-3)8-6-11/h4-8H,1,9-10H2,2-3H3,(H,17,20)(H,18,22)/t16-/m1/s1";"QCTANTWHOVNYOI-MRXNPFEDSA-N";"E3Nonbinder";"unique"
"JR_0011";"C=CCNC(=O)NC(=O)CN1C(=O)NC(C)(c2ccccc2F)C1=O";"InChI=1S/C16H17FN4O4/c1-3-8-18-14(24)19-12(22)9-21-13(23)16(2,20-15(21)25)10-6-4-5-7-11(10)17/h3-7H,1,8-9H2,2H3,(H,20,25)(H2,18,19,22,24)/t16-/m1/s1";"DNWPETPSAVSNIH-MRXNPFEDSA-N";"E3Nonbinder";"unique"
"JR_0012";"C=CCNC(=O)C(C)N1CCN(C(=O)c2ccccc2)CC1";"InChI=1S/C17H23N3O2/c1-3-9-18-16(21)14(2)19-10-12-20(13-11-19)17(22)15-7-5-4-6-8-15/h3-8,14H,1,9-13H2,2H3,(H,18,21)/t14-/m0/s1";"DZCHDGVPOUYLJQ-AWEZNQCLSA-N";"E3Nonbinder";"unique"
