E3 Ligase,InChI Key,Smiles,source,id
CIAP1,AIYRKWQJUXHQEF-QNMIOERPSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@@H]1CCCc2ccccc21)C(C)(C)C,Literature,lit_1
CRBN,UVSMNLNDYGZFPF-UHFFFAOYSA-N,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Literature,lit_2
CRBN,UEJJHQNACJXSKW-UHFFFAOYSA-N,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Literature,lit_3
CRBN,GOTYRUGSSMKFNF-UHFFFAOYSA-N,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Literature,lit_4
VHL,MNNVXLLCYGGFOQ-YOUFYPILSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@@H](F)[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Literature,lit_5
CRBN,DXZBHVQOULDEPN-UHFFFAOYSA-N,Nc1cccc2nnn(C3CCC(=O)NC3=O)c(=O)c12,Literature,lit_6
VHL,ALYDGEQICGMVIP-UYIZUTNXSA-N,CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Literature,lit_7
DCAF15,SETFNECMODOHTO-UHFFFAOYSA-N,NS(=O)(=O)c1ccc(S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23)cc1,Literature,lit_8
MDM2,BDUHCSBCVGXTJM-UHFFFAOYSA-N,COc1ccc(C2=NC(c3ccc(Cl)cc3)C(c3ccc(Cl)cc3)N2C(=O)N2CCNC(=O)C2)c(OC(C)C)c1,Literature,lit_9
MDM2,TVTXCJFHQKSQQM-LJQIRTBHSA-N,COc1cc(C(=O)O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,Literature,lit_10
MDM2,QBGKPEROWUKSBK-QPPIDDCLSA-N,CCOc1cc(C(C)(C)C)ccc1C1=N[C@@](C)(c2ccc(Cl)cc2)[C@@](C)(c2ccc(Cl)cc2)N1C(=O)N1CCN(CCCS(C)(=O)=O)CC1,Literature,lit_11
VHL,GFVIEZBZIUKYOG-SVFBPWRDSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Literature,lit_12
VHL,NDVQUNZCNAMROD-RZUBCFFCSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)cc1,Literature,lit_13
VHL,GFNCBUDQFXZVNN-SVFBPWRDSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Literature,lit_14
VHL,JAHUHEDUDMTTTF-COWZOJLOSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(-c2scnc2C)cc1)C(C)(C)C,Literature,lit_15
VHL,MNNVXLLCYGGFOQ-VNYTWHDVSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)[C@H](F)[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)(C)C,Literature,lit_16
VHL,QORQDSURGXKKLU-PSMGESJCSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(Cl)cc1)C(C)(C)C,Literature,lit_17
VHL,OXUULQVWMAOYDZ-NUDXDXSLSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C#N)cc1)C(C)(C)C,Literature,lit_18
VHL,WHTWICJCWCIKHM-WEFJBSGNSA-N,C#Cc1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(C)=O)C(C)(C)C)cc1,Literature,lit_19
VHL,CFQQOSHEPDRZSL-MYDCNYLUSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C2CC2)cc1)C(C)(C)C,Literature,lit_20
VHL,FPHVSWUJMFIEOJ-PSMQTCRGSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C(C)C)cc1)C(C)(C)C,Literature,lit_21
VHL,HWRVUOLZBZRHRB-PSMQTCRGSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)c1ccc(C(C)(C)C)cc1)C(C)(C)C,Literature,lit_22
VHL,DHJHMRSRAVXNPQ-MDAIXWLXSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_23
VHL,BUFJKORGWVCZBG-HXKBJWFLSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_24
VHL,PTPPMFQIIPBSRV-MDAIXWLXSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_25
VHL,TXOUIGUFBKWBLO-HXKBJWFLSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(C#N)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_26
VHL,PTPPMFQIIPBSRV-IUBSTNSRSA-N,CNC(=O)C[C@@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_27
VHL,PTPPMFQIIPBSRV-XBJMDHIQSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)C1(F)CC1)C(C)(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_28
VHL,HEDFFPYRFJKXQP-VJTSUQJLSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)cc1,Literature,lit_29
VHL,RILDEXHTOOMQCV-MDAIXWLXSA-N,C#Cc1ccc([C@H](CC(=O)NC)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](c2cc(C)no2)C(C)C)cc1,Literature,lit_30
VHL,GEWZUXIXBYUKKN-QTDGGUCWSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(C#N)cc1,Literature,lit_31
VHL,DZVFTEQNLPBNLU-MDPIYQRISA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Br)cc1,Literature,lit_32
VHL,AVTUCSSCVXIPKR-MDPIYQRISA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Cl)cc1,Literature,lit_33
VHL,QOVORLCCBWSWNE-MDPIYQRISA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(F)cc1,Literature,lit_34
VHL,YRJWYFLCJKATIJ-MDPIYQRISA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccccc1,Literature,lit_35
VHL,UEIQRCHIEZGBTN-LXZJYRNTSA-N,CNC(=O)C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(C)=O)C(C)C)c1ccccc1,Literature,lit_36
